job_id,title,company,location,description,skills,posted_date,source
standalone&origin=cardTitle#sol=d4716bd43f127d415aa198cc5af45138b9bb3d8d,Social Media Specialist,Sancha Artisan Milk Tea,Jakarta Barat,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/89166577?type=standard&ref=search-standalone&origin=cardTitle#sol=d4716bd43f127d415aa198cc5af45138b9bb3d8d,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=59a89237c573bb6453f923de2f099dbf7508b0e5,Social Media Specialist (Content Creator),PT Vkool Indo Lestari,Jakarta Raya,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/89164881?type=standard&ref=search-standalone&origin=cardTitle#sol=59a89237c573bb6453f923de2f099dbf7508b0e5,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=24fac1ea681ece797990ed4a56dab4776cdd17de,Social Media Specialist,PT KIIP KIIP INDONESIA,Jakarta Utara,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/88798392?type=standard&ref=search-standalone&origin=cardTitle#sol=24fac1ea681ece797990ed4a56dab4776cdd17de,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=9a4fbca02e21a1b34840463aab59db4e9e8ebfe0,Social Media Specialist,PT Beautilosophi Mahandaru Indonesia ( The Clinic Beautylosophy ),Jakarta Raya,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/89126765?type=standard&ref=search-standalone&origin=cardTitle#sol=9a4fbca02e21a1b34840463aab59db4e9e8ebfe0,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=f29b1e961081b51d8dddc9787c7ff49f77113eac,Social Media Specialist,PT Cerita Rasa Kita,Jakarta Selatan,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/88955848?type=standard&ref=search-standalone&origin=cardTitle#sol=f29b1e961081b51d8dddc9787c7ff49f77113eac,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=1fec11d01b0426042983467cffd10f5d808d6204,Social Media Specialist (Hotto atau Brand Mom & Baby ),PT. BERKAT KREASI GEMILANG,Tangerang,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/89170828?type=standard&ref=search-standalone&origin=cardTitle#sol=1fec11d01b0426042983467cffd10f5d808d6204,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=c1eba1481de02fcc3b2980b7b4c18030f0a1ad0d,Social Media Specialist,PT Edukasi Gunarita Abadi,Jakarta Selatan,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/89126703?type=standard&ref=search-standalone&origin=cardTitle#sol=c1eba1481de02fcc3b2980b7b4c18030f0a1ad0d,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=7a08d9876ee9bdaebb81d21cc6b018a56f9065ec,Social Media Specialist,PT Airkon Pratama,Jakarta Selatan,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/88830840?type=standard&ref=search-standalone&origin=cardTitle#sol=7a08d9876ee9bdaebb81d21cc6b018a56f9065ec,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=8c85291865c98700c517801b90bc45d0c7363e51,FREELANCER SOCIAL MEDIA SPECIALIST (TAGALOG / FILIPINO LANGUAGE),PT Daehong Communications Indonesia,Jakarta Selatan,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/89153790?type=standard&ref=search-standalone&origin=cardTitle#sol=8c85291865c98700c517801b90bc45d0c7363e51,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=ba916636cca3fd4d1e904a9e46b08b64df3a8ade,Social Media & KOL Specialist,PT Surya Dermato Medica Labs,Jakarta Pusat,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/88778584?type=standard&ref=search-standalone&origin=cardTitle#sol=ba916636cca3fd4d1e904a9e46b08b64df3a8ade,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=b4d5c136b20ce23ad9d4ec5429c81b42c563a90f,Social Media Specialist,EUROMEDICA GROUP,Bali,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/89084594?type=standard&ref=search-standalone&origin=cardTitle#sol=b4d5c136b20ce23ad9d4ec5429c81b42c563a90f,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=32b64b3da35d457e4cc648b7216f51f0553e99ca,Social Media Specialist,PT Anugerah Metalindo Gemilang,Jakarta Barat,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/88975496?type=standard&ref=search-standalone&origin=cardTitle#sol=32b64b3da35d457e4cc648b7216f51f0553e99ca,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
standalone&origin=cardTitle#sol=dc770483d7e99f92f7dcec4d3f8cb7bfa542a821,Social Media Specialist,PT CERIA BELAJAR EDUKASI INDONESIA,Jakarta Utara,Real JobStreet Data for Social Media Specialist. Apply at: https://id.jobstreet.com/id/job/88983611?type=standard&ref=search-standalone&origin=cardTitle#sol=dc770483d7e99f92f7dcec4d3f8cb7bfa542a821,Social Media Specialist,2025-12-17,JobStreet Indonesia (Real)
